,Company_Name,JobTitles,Skills,Description,Stipend,Links
10,Youth Growth Foundation,Web Development,"Data Analysis , MS-Excel","Selected intern's day-to-day responsibilities include: 

1. Manage data of all Insurance clients
2. Feeding policy data into the system
3. Compiling data and ensuring correct entries
4. Data Analysis. Data Analysis , MS-Excel","₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-youth-growth-foundation1709453338
11,Eduminatti,Web Development,"Express.js , JavaScript , MongoDB , Node.js , React Native","Roles and Responsibilities

Front-end Development: Collaborate with the design team to translate UI/UX design concepts into functional mobile applications. Develop responsive and user-friendly mobile interfaces. Optimize mobile applications for maximum speed and scalability. Ensure the compatibility of mobile applications across platforms
Back-end Development: Build and maintain the server-side logic and database systems. Develop secure and efficient APIs to support the front-end functionality. Implement data storage solutions and database management. Ensure the security and integrity of data and user accounts
Full Stack Development: Integrate front-end and back-end elements to create a seamless user experience. Troubleshoot and debug issues across the entire tech stack. Collaborate with cross-functional teams to develop and enhance tech solutions. Stay current with industry trends and technologies in full-stack development. Express.js , JavaScript , MongoDB , Node.js , React Native","₹ 20,000-30,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-eduminatti1709454278
12,Dolphin Ad World Private Limited,Web Development,"HTML , WordPress","Selected intern's day-to-day responsibilities include: 

1. Work on website handling 
2. Work on website update 
3. Work on website traffic strategies
4. Should understand Shopify well. HTML , WordPress","₹ 10,000 /month",https://internshala.com/internship/detail/web-development-internship-in-mumbai-at-dolphin-ad-world-private-limited1709370653
13,OyeLabs,Web Development,"Bootstrap , HTML&CSS , JavaScript , User Interface (UI) Development","1. Job Description:

We are looking for a talented and enthusiastic Intern Web Developer or UI Developer to join our team. This is a great opportunity for someone who is passionate about web development and wants to gain hands-on experience in designing and developing the front page of our website.

Selected intern's day-to-day responsibilities include:

1. Assist in designing and developing the front page of our website, ensuring it is visually appealing, easy to navigate, and user-friendly
2. Collaborate with the design team to create wireframes, mockups, and prototypes
3. Implement responsive design principles to ensure the website is accessible on all devices
4. Assist in optimizing website performance and speed
5. Stay up-to-date with the latest web development trends and technologies
6. Work closely with the marketing team to ensure the website aligns with the company's brand and messaging
7. Provide technical support and troubleshooting for website issues

Qualifications:

1. Currently pursuing a degree in Computer Science, Web Development, or a related field
2. Basic understanding of HTML, CSS, and JavaScript
3. Familiarity with front-end frameworks such as Bootstrap or Foundation is a plus
4. Strong problem-solving and communication skills
5. Ability to work independently and as part of a team
6. Passion for web development and a desire to learn and grow in the field. Bootstrap , HTML&CSS , JavaScript , User Interface (UI) Development","₹ 5,000-10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-oyelabs1709367011
14,Eupheus Learning,Web Development,"CSS , HTML , JavaScript , PHP , PostgreSQL","Selected intern's day-to-day responsibilities include: 

1. Creating digital flipbooks
2. Updating/modifying existing flipbooks  
3. Entering data
4. Working on video editing & compression(we will provide a tool for this)
5. Editing PDF using any PDF editor application. CSS , HTML , JavaScript , PHP , PostgreSQL","₹ 10,000 /month",https://internshala.com/internship/detail/web-development-internship-in-delhi-at-eupheus-learning1709362287
15,Buddha Education Association Incorporation,Web Development,"C++ Programming , CSS , HTML , Java , JavaScript , SQL","Selected intern's day-to-day responsibilities include: 

1.     Create multiple panels for admins, users, and super admin
2.     Manage a team of 10 web development interns
3.     Plan the product roadmap with features and applications
4.     Create a strong backend structure & front end for all the panels combined. C++ Programming , CSS , HTML , Java , JavaScript , SQL","₹ 20,000 /month",https://internshala.com/internship/detail/part-time-web-development-internship-in-multiple-locations-at-buddha-education-association-incorporation1709360856
16,Gravit Infosystems Private Limited,Web Development,"Angular 7.0 , CodeIgniter , MySQL , Node.js , React , ReactJS , React Native","The selected intern's day-to-day responsibilities include: 

1. Work on web development & coding
2. Handle technical documentation
3. Work on technical presentation

Must Know
Strong knowledge of HTML,Bootstrap,  PHP,React, Node, Angular, MySQL, Wordpress, Magento, Mern stack. Angular 7.0 , CodeIgniter , MySQL , Node.js , React , ReactJS , React Native","₹ 3,000 /month",https://internshala.com/internship/detail/web-development-internship-in-gwalior-at-gravit-infosystems-private-limited1709287784
17,The Overseas Consultant,Web Development,"Bootstrap , CSS , HTML , JavaScript , jQuery , ReactJS , WordPress","Selected intern's day-to-day responsibilities include:

1. Assisting in the development and maintenance of our company website using HTML, CSS, JavaScript, ReactJS, WordPress, Bootstrap, and jQuery
2. Collaborating with the design team to create visually appealing and user-friendly web pages
3. Implementing responsive web design principles to ensure an optimal browsing experience across different devices
4. Troubleshooting and debugging website issues, ensuring seamless functionality
5. Conducting regular website performance and security audits to optimize loading speed and protect against cyber threats
6. Supporting the integration of third-party APIs and plugins to enhance website functionalities. Bootstrap , CSS , HTML , JavaScript , jQuery , ReactJS , WordPress","₹ 5,000-7,000 /month",https://internshala.com/internship/detail/part-time-web-development-internship-in-multiple-locations-at-the-overseas-consultant1709284932
18,Genesis,Web Development,"Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","Selected intern's day-to-day responsibilities include:

1. Work on WordPress websites
2. Implement different plugins to integrate with existing website & ensure smooth functioning
3. Work on different WordPress integrations. Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","₹ 35,000-40,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-genesis1709271252
19,Digital Ipsum,Web Development,"CSS , HTML , WordPress","Selected intern's day-to-day responsibilities include: 

1. Working on UI/UX, cross-browser compatibility, general web functions, and standards
2. Engaging in constant communication with colleagues
3. Planning and delivering websites & software platforms used across multiple products and organizational units
4. Working on programming languages such as HTML, CSS, and Elementor.
5. Also have a good knowledge of WordPress
6. Working on security principles and how they apply to all kinds of websites.
7. Must know Elementor. CSS , HTML , WordPress","₹ 4,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-digital-ipsum1709181779
20,Tutedude,Web Development,"CSS , HTML , JavaScript , MEAN/MERN Stack","Selected intern's day-to-day responsibilities include:

1. Work on coding the new design of our website
2. Collaborate with the UI/UX team, understand the design, and code it. CSS , HTML , JavaScript , MEAN/MERN Stack","₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-tutedude1709138238
21,Shubh International,Web Development,"Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","Selected intern's day-to-day responsibilities include:

1. Working on PHP web development
2. Working on MySQL databases
3. Handling HTML, CSS, and JS development. Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","₹ 6,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-shubh-international1709128522
22,Avaari,Web Development,"Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","Selected intern's day-to-day responsibilities include: 

1. Collaborating with the development team to create and maintain captivating websites and web applications
2. Assisting in the implementation of responsive web designs using HTML, CSS, and Bootstrap to ensure optimal user experience across various devices
3. Writing clean, efficient, and well-documented code in JavaScript and jQuery to enhance website interactivity and functionality
4. Utilizing PHP and MySQL to develop dynamic web pages and database-driven applications
5. Exploring and implementing modern front-end frameworks like ReactJS to develop cutting-edge web solutions
6. Assisting in the customization and management of WordPress websites, including theme development and plugin integration
7. Assisting in the deployment and maintenance of web applications using Node.js, ensuring seamless performance and scalability. Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","₹ 15,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-avaari1709127937
23,MentorBoxx,Web Development,"CSS , HTML , JavaScript , Node.js , ReactJS","Selected intern's day-to-day responsibilities include:

1. Collaborate with the development team to design and implement web applications using the latest technologies
2. Assist in the creation of user-friendly interfaces and engaging user experiences
3. Debug and fix any issues related to frontend and backend development
4. Optimize and improve website performance through efficient coding practices
5. Conduct thorough testing and ensure cross-browser compatibility for seamless experiences
6. Stay up-to-date with industry trends and suggest innovative ideas to enhance our products
7. Support the team in various tasks, such as documentation and website maintenance

If you have a hunger for learning, a creative mindset, and a drive to contribute to a dynamic team, MentorBoxx is eager to provide you with an exciting internship experience. Join us in shaping the future of online education! Apply now!. CSS , HTML , JavaScript , Node.js , ReactJS","₹ 20,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-mentorboxx1709125674
24,Buddha Education Association Incorporation,Web Development,"C++ Programming , Java , JSON , Node.js , ReactJS , SQL , Webflow","Selected intern's day-to-day responsibilities include: 

1.     Create multiple panels for admins, users, and super admin
2.     Manage a team of 10 web development interns
3.     Plan the product roadmap with features and applications
4.     Create a strong backend structure & front end for all the panels combined. C++ Programming , Java , JSON , Node.js , ReactJS , SQL , Webflow","₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-buddha-education-association-incorporation1709118890
25,Epsilon International,Web Development,".NET , ASP.NET , C# , JavaScript , MS SQL Server","Selected intern's day-to-day responsibilities include:

1. Handling extensive software development work on platforms such as ASP. Net, C#, MS SQL Server, Cloud technologies (Azure), Data-Cataloguing Tool, etc.
2. Troubleshooting, identifying root causes for the problems, and taking corrective and preventive steps on our proprietary software products (https://abidus.com/ and https://www.kenspan.com/) 
3. Providing training to the customer on our above software and solutions
4. Contributing towards continued research and development work of our very innovative live SaaS-based solutions presently on offer to both domestic and global clients
5. Working with the team to manage, optimize and customize our web applications
6. Providing product demonstration to customers
7. Creating and maintaining technical documentation. .NET , ASP.NET , C# , JavaScript , MS SQL Server","₹ 15,000 /month",https://internshala.com/internship/detail/web-development-internship-in-multiple-locations-at-epsilon-international1709033228
26,Celebrare,Web Development,"Amazon Web Server (AWS) , Bootstrap , CSS , Firebase , HTML , JavaScript , jQuery , PHP , Python","Selected intern's day-to-day responsibilities include:

1. Collaborating with the team to develop a website
2. Familiarity with AWS services, Flask and Image processing (ML)
3. Working with Python & experience as a Python Web Developer
4. Providing daily updates on the tasks assigned. Amazon Web Server (AWS) , Bootstrap , CSS , Firebase , HTML , JavaScript , jQuery , PHP , Python","₹ 6,000-12,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-celebrare1708921152
27,Advisance Private Limited,Web Development,"CSS , HTML , WordPress","Selected intern's day-to-day responsibilities include: 

1. Create a Services Website
2. Content Upload
3. Web-Listings
4. Handle front-end styling for the website
5. Should be able to build store on Shopify
6. Create Landing pages and website building. CSS , HTML , WordPress","₹ 1,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-advisance-private-limited1708895726
28,BVR Technosoft Solution,Web Development,"CodeIgniter , LARAVEL , PHP , SQL","Selected intern's day-to-day responsibilities include: 

1. Working with the team to manage, optimize, and customize multiple web applications
2. Working with codeigniter and MySQL to design and develop. CodeIgniter , LARAVEL , PHP , SQL","₹ 4,000-10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-bvr-technosoft-solution1708800381
29,Evogue Media LLP,Web Development,"Adobe Photoshop , C++ Programming , C Programming , CSS , HTML , JavaScript , LARAVEL , PHP , UI & UX Design , WordPress","Selected intern's day-to-day responsibilities include: 

1. Planning and managing website projects including timing estimates and ensuring that our deadlines are met
2. Working on HTML, CSS, JavaScript, PHP, and similarly required programming languages
3. Working on WordPress, Squarespace, and Shopify
4. Handling other projects including developing interactive business websites. Adobe Photoshop , C++ Programming , C Programming , CSS , HTML , JavaScript , LARAVEL , PHP , UI & UX Design , WordPress","₹ 10,000-15,000 /month",https://internshala.com/internship/detail/web-development-internship-in-mumbai-at-evogue-media-llp1708692365
30,Vayu Tech,Web Development,"CSS , HTML , JavaScript , MySQL , PHP","Selected intern's day-to-day responsibilities include: 

1. Coding and communicating with team on requirements
2. Documentation both feature as well as code
3. Proactive learning and thinking out of the box. CSS , HTML , JavaScript , MySQL , PHP","₹ 6,000-8,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-vayu-tech1708692312
31,Avaari,Web Development,"Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","Selected intern's day-to-day responsibilities include: 

1. Collaborating with the development team to create and maintain captivating websites and web applications
2. Assisting in the implementation of responsive web designs using HTML, CSS, and Bootstrap to ensure optimal user experience across various devices
3. Writing clean, efficient, and well-documented code in JavaScript and jQuery to enhance website interactivity and functionality
4. Utilizing PHP and MySQL to develop dynamic web pages and database-driven applications
5. Exploring and implementing modern front-end frameworks like ReactJS to develop cutting-edge web solutions
6. Assisting in the customization and management of WordPress websites, including theme development and plugin integration
7. Assisting in the deployment and maintenance of web applications using Node.js, ensuring seamless performance and scalability. Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","₹ 20,000 /month",https://internshala.com/internship/detail/part-time-web-development-internship-in-multiple-locations-at-avaari1708589752
32,"Spectral Media (Sydney, Australia)",Web Development,"CSS , HTML , JavaScript","Selected intern's day-to-day responsibilities include: 

1. Downloading lander pages from competitors
2. Cleaning the lander pages of all tracking/re-direct/affiliate-marketing scripts. CSS , HTML , JavaScript","₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-spectral-media1708578730
33,CCBUL,Web Development,"AJAX , Bootstrap , jQuery , MySQL , PHP , REST API","Selected intern's day-to-day responsibilities include:

1. Design & develop applications and solutions (best in use for rural people)
2. Develop simple products using advanced technologies
3. Explore the possibilities of using existing technologies in a better way
4. Debug the applications

Required:

1. Knowledge of PHP, web services, and APIs is mandatory for this project

Note: Candidates only with core skills in PHP are requested to apply.. AJAX , Bootstrap , jQuery , MySQL , PHP , REST API","₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-ccbul1708499160
34,TechPlusD2C,Web Development,"APIs , CSS , HTML , JavaScript , jQuery , JSON , PHP , ReactJS , Responsive Design , Ruby on Rails , Tailwind CSS","Selected intern's day-to-day responsibilities include: 

1. Create pixel-perfect and responsive webpages through mockups provided
2. Work on integrating and configuring Shopify apps and plugins to enhance website functionality
3. SEO optimization and website performance optimization.
4. Work on Application development and extending Shopify functionalities using storefront APIs
5. Work with various Shopify JS APIs (storefront, AJAX Cart, Sections, etc.)
6. Develop standard code that can serve as the foundation of future projects

Requirements: Working Knowledge of e-commerce platforms. Knowledge about Shopify/WebFlow/Framer is a must.

Listing all the perks once you end the internship and are ready to join full-time:

1. Every 6-month hikes
2. Yearly performance bonus
3. 5% of Revenue share for the e-commerce apps/themes you build and deploy
4. Courses are available free of cost. APIs , CSS , HTML , JavaScript , jQuery , JSON , PHP , ReactJS , Responsive Design , Ruby on Rails , Tailwind CSS","₹ 2,000 /month",https://internshala.com/internship/detail/web-development-internship-in-nagpur-at-techplusd2c1708503702
35,Printila Services Private Limited,Web Development,"Bootstrap , JavaScript , MongoDB , MySQL , Node.js","Selected intern's day-to-day responsibilities include working closely with experienced web developers and contributing to various projects, picking up practical skills and knowledge that will be beneficial to your career.. Bootstrap , JavaScript , MongoDB , MySQL , Node.js","₹ 8,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-printila-services-private-limited1708460199
36,Tripfox,Web Development,"Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress","We are looking for a talented Web Development intern to join our team at Yogendra Singh company. Your role will involve working on various exciting projects and collaborating with our experienced developers. 

Selected intern's day-to-day responsibilities include:

1. Develop and maintain responsive websites using HTML, CSS, and JavaScript
2. Implement server-side logic using PHP and Node.js for dynamic web applications
3. Utilize ReactJS and WordPress to create user-friendly interfaces and enhance user experience
4. Design and implement database solutions using MySQL for efficient data storage and retrieval
5. Use Bootstrap for front-end development to ensure consistency and responsiveness across all platforms
6. Implement interactive features and animations using jQuery to enhance website functionality
7. Collaborate with the team to troubleshoot and debug issues, as well as contribute innovative ideas to improve our web projects

If you are passionate about web development and eager to expand your skills in a dynamic environment, apply now and become a valuable member of our team!. Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP , ReactJS , WordPress",Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-tripfox1708433779
37,Webpulse Solution Private Limited,Web Development,"CodeIgniter , CSS , HTML , JavaScript , jQuery , MySQL , PHP","Selected intern's day-to-day responsibilities include:

1. Developing websites.
2. Implementing front-end development tasks.
3. Handling backend development.
4. Integrating APIs into the system.
5. Testing and debugging code.
6. Optimizing and tuning performance.
7. Managing version control and deployment processes.
8. Documenting and maintaining project documentation.
9. Engaging in continuous learning and professional development activities.. CodeIgniter , CSS , HTML , JavaScript , jQuery , MySQL , PHP","₹ 5,000 /month",https://internshala.com/internship/detail/web-development-internship-in-delhi-at-webpulse-solution-private-limited1708424706
38,House Of Couton Private Limited,Web Development,"Flask , JavaScript , Node.js , Python , ReactJS","Selected intern's day-to-day responsibilities include: 

1. Web Developer/Software Engineer: Codes and maintains web applications, ensuring functionality and compatibility.
2. Frontend Developer: Translates designs into interactive, optimized web pages.
3.Backend Developer: Manages server-side logic, databases, and API development.
4. Full-Stack Developer: Proficient in both frontend and backend development, offering end-to-end solutions.. Flask , JavaScript , Node.js , Python , ReactJS","₹ 5,000-10,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-house-of-couton-private-limited1708422518
39,Webmobi,Web Development,"Bootstrap , JavaScript , Next.js , ReactJS","Selected intern's day-to-day responsibilities include:

1. Designing and building the websites with React & Bootstrap - technologies to be used include Bootstrap, React, Next.js HTML & CSS and integrating Get/Post API
2. Working with the team to manage, optimize, and customize multiple web applications
3. Creating and maintaining technical documentation. Bootstrap , JavaScript , Next.js , ReactJS","₹ 2,500 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-webmobi1708418033
40,Digital Heroes,Web Development,"Certificate ,  Flexible work hours ,  5 days a week ,  Job offer","Selected intern's day-to-day responsibilities include:

1. Work on the backend of websites
2. Manage Selenium-based automation for the company
3. Build code to automate various tasks for clients. Certificate ,  Flexible work hours ,  5 days a week ,  Job offer","₹ 2,000 /month",https://internshala.com/internship/detail/part-time-web-development-internship-in-lucknow-at-digital-heroes1708349397
41,Naveen Kumar,Web Development,"Bootstrap , HTML&CSS , Next.js , Node.js , React , ReactJS","Selected intern's day-to-day responsibilities include: 

1. Develop features and deliver daily reports
2. Utilize GitHub daily for check-ins
3. Code with scalability in mind. Bootstrap , HTML&CSS , Next.js , Node.js , React , ReactJS","₹ 7,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-naveen-kumar1708341883
42,IoTReady,Web Development,"CSS , HTML , HTML&CSS , JavaScript , React Native","Key responsibilities:

1. Developing and maintaining all front-end aspects of the React application, ensuring high performance and adherence to design specifications.
2. Implement and manage state handling solutions to ensure smooth data flow and state management across the application.
3. Design and develop reusable components and manage their lifecycle efficiently for optimal performance and maintainability.
4. Conduct thorough testing and debugging of web applications to ensure optimal performance and functionality.
5. Assist in the integration of third-party APIs and services to enhance the functionality and user experience of our web applications.
6. Regularly optimize the application for maximum speed and scalability. This includes analyzing performance bottlenecks and implementing solutions like lazy loading, memoization, and efficient rendering strategies.
7. Maintain high standards of code quality and organization. Implement and oversee unit and integration tests to ensure application stability and reliability.
8. Work collaboratively with other team members, including back-end developers and UI/UX designers. Use version control tools like Git effectively for source code management.
9. Write clear, concise documentation for the code and features developed, ensuring that future maintenance and upgrades can be carried out easily.. CSS , HTML , HTML&CSS , JavaScript , React Native","₹ 15,000 /month",https://internshala.com/internship/detail/web-development-internship-in-bangalore-at-iotready1708336519
